timestamp,source_ip,destination_ip,event
2023-01-01 10:00:00,192.168.1.10,10.0.0.5,allowed
2023-01-01 10:01:00,192.168.1.11,10.0.0.5,denied
2023-01-01 10:02:00,192.168.1.11,10.0.0.5,denied
2023-01-01 10:03:00,192.168.1.11,10.0.0.5,denied
2023-01-01 10:04:00,192.168.1.12,10.0.0.5,allowed
2023-01-01 10:05:00,192.168.1.13,10.0.0.5,denied
2023-01-01 10:06:00,192.168.1.11,10.0.0.5,allowed
2023-01-01 10:07:00,192.168.1.13,10.0.0.5,denied
2023-01-01 10:08:00,192.168.1.13,10.0.0.5,denied
2023-01-01 10:09:00,192.168.1.13,10.0.0.5,denied
